model,init,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,MEANPOT,R_VALUE,MEANSHR,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZD,MEANJZH,MEANALP
MFR,16_1000_5,0.10131533164627461,0.12429225328770091,0.03624130029667074,0.13056350903166808,0.05723624317966241,0.035315751063504104,0.0922688784168867,0.31987619027012193,0.0024270783140747302,0.0018620262018339759,0.04172053706924836,0.019658124737321942,0.03040053610821145,0.0011688229458239213,0.0035693592137389226,0.0020840582172572874
MFR,4_1000_10,0.1066742980221446,0.10785671300043122,0.04458479455851063,0.11778541258088375,0.05679382597175346,0.0385760658273451,0.09144664276533487,0.2601667451429217,0.014024876753122318,0.012253242741860513,0.044419984054731666,0.02669766496838975,0.03809732572583259,0.012034153777264625,0.014894325471871058,0.013693928637602036
MFR,32_1000_10,0.09675643453374799,0.11474258939477656,0.0443546633110393,0.12301698569799316,0.05447207155470501,0.03934854494662577,0.0913736639915807,0.2632064817547762,0.013915438435121854,0.012355655200341199,0.04312771112347373,0.027242306142775206,0.03524070333026654,0.012190076162897408,0.015037459798266354,0.013619214621613009
MFR,16_1000_10,0.0916614221386548,0.11206676696890715,0.046317816722366914,0.1132766807211183,0.05936150357149496,0.04098469188161999,0.09201693359194145,0.2704519770416451,0.013675964896248756,0.012378286196265704,0.04345114792505743,0.02795016532176433,0.03589368646852361,0.012207556647112547,0.014687028503576754,0.013618371403702244
MFR,2_1000_10,0.08920192966126171,0.11522644625444395,0.04627154956713742,0.10614663380744095,0.060896887214411846,0.03972674271007228,0.09174215057013915,0.2768116322509041,0.01418008361159085,0.012088368062662412,0.042036441353924356,0.02848641908325141,0.03613514164314376,0.012034536734240016,0.015267981282317464,0.013747056193058329
MFR,8_1000_10,0.08758775016516304,0.12369055244348573,0.04783490318118773,0.11214584530353067,0.05786920309718975,0.04216957612725653,0.09973166012944007,0.25142356153861056,0.014077013488699627,0.012223987203291382,0.04645541797401118,0.028928910318731422,0.03468634147923171,0.012081484311285175,0.015123560170536891,0.013970233068348421
MFR,4_1000_20,0.09370834693527055,0.09623469049893818,0.048665489760833305,0.10455952578781517,0.0587833587975212,0.04508387652144308,0.08433521011361332,0.20822700522920928,0.0268607605638441,0.025295925405480875,0.049761642592084834,0.03552756944667422,0.04286568686445668,0.026669675419305486,0.02717495407668635,0.026246281986823283
MFR,8_1000_20,0.07900699477935108,0.10755496355363592,0.05038303238161934,0.09728957450682577,0.0611134848006848,0.04749408892098193,0.09350164134471488,0.20176593125561695,0.027178540877701066,0.02523996636263839,0.04762701094961733,0.03850563794342934,0.04316417565440799,0.02659949302518649,0.027172076538422824,0.02640338710516591
MFR,8_1000_None,0.07921426216517753,0.10528775523264927,0.051437464271167015,0.09689925728090555,0.059953196854204235,0.04782554649447203,0.09156133725622036,0.19722608373060121,0.028315981944387118,0.026756868938685563,0.04985523630531877,0.039563491443839506,0.04197472571856215,0.028024906249649872,0.028466080756358543,0.027637805357801335
MFR,32_1000_20,0.0864236813690087,0.10088723610722991,0.049584010680066126,0.106831290539325,0.05729245556083325,0.04568524783682732,0.08252665633581875,0.20939479562257154,0.027161352143507938,0.025510494257029673,0.048927609955763014,0.03648307744666383,0.042760908380952214,0.026872637751700984,0.027152261315394874,0.026506284697306853
