HARPNUM,file_name,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,USFLUXL,MEANPOT,R_VALUE,MEANSHR,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZH,MEANJZD,MEANALP,SHRGT45
1447,hmi.sharp_cea_720s.1447.20120311_000000_TAI,364.3483878368252,4.577744654614523e+22,16672900634558.283,25.107418916169674,2042996629555.2407,6.631260266636834e+21,2.9738919929218817e+21,1768.3176437759166,2.628889550307649,40.62975754343968,42.54189642664024,70.9939588965725,69.45803402224139,37.037612202822,0.0012880223114025,0.195288271605117,0.0089570476966613,34.648335299851226
1447,hmi.sharp_cea_720s.1447.20120311_020000_TAI,372.5189241880717,4.692776154510468e+22,17381085737645.9,17.699708660735222,2044247009567.9287,7.155871064624934e+21,3.2319274704055566e+21,1732.6661451339553,2.7805026624346736,40.35045862112577,42.08974902110341,69.0088634328931,69.30440216301479,36.22816334030447,0.000867973159118,0.1930716412695248,0.0056453439689318,33.88741786800039
1447,hmi.sharp_cea_720s.1447.20120311_030000_TAI,467.1893781649664,5.428012757707655e+22,21593714356875.66,28.037955100449132,2397821448802.556,8.876587658653383e+21,4.045308345996616e+21,1609.0163438905824,3.0068636915246847,39.76094679014466,41.20998054943272,68.88951989064826,69.96880995137364,35.30578978175529,0.001103899960646,0.1817885776550987,0.0073014408908253,32.879300842453354
1447,hmi.sharp_cea_720s.1447.20120311_040000_TAI,432.9350064174702,5.462969395264952e+22,19064390751187.234,25.96338573378996,1736595264235.6267,7.83097985489031e+21,3.5688868443915346e+21,1914.701823614846,3.057160086477748,41.30582902748392,41.36900102637487,71.92523542579234,73.00474609700876,37.719349706392,0.0012086674611884,0.1052787401800648,0.00724009579246,35.849934835226215
1447,hmi.sharp_cea_720s.1447.20120312_010000_TAI,307.4179845932727,3.325623802607824e+22,14574843690960.088,6.4492294241726,1813697249401.3528,6.551694721928861e+21,2.137044903198134e+21,1340.8392818337722,2.8863104855409425,38.25949336260688,40.7123504308485,58.60010435470368,61.788863002512905,32.043994586835794,-0.0003453587567833,0.1564179141399249,-0.0023347635900656,28.74812593703148
1447,hmi.sharp_cea_720s.1447.20120311_050000_TAI,442.2457516633686,5.280743039131995e+22,23931068076048.96,17.53343388586915,1014789074693.7166,7.223961531388893e+21,3.181186961516253e+21,1717.7856906290965,3.009734008764944,44.46617303902998,43.61679662094379,69.24745906083045,70.56621090176452,39.08376321028109,0.0007574491915443,0.0844048155405348,0.0056791504423026,39.74425436322792
1449,hmi.sharp_cea_720s.1449.20120304_170000_TAI,978.623263854212,3.604310349133966e+23,23876127634278.34,342.15555165758684,15974449248164.904,1.3110269911303629e+22,7.116261724947905e+21,10786.100066728284,4.079086374810379,52.885254486794445,57.2677968777374,60.12465597424071,72.59140460926406,47.06529594028781,-0.0135997277975113,0.632097310663968,-0.0372844744189813,53.68810110484064
1449,hmi.sharp_cea_720s.1449.20120306_080000_TAI,2769.849902617389,9.143054509462837e+23,55221406963545.14,1386.7039315800107,50509559299824.67,2.565091773654925e+22,1.6965340575340077e+22,15722.21419872297,4.880851255127191,54.64716006862128,58.82864938063255,69.7369174561274,85.8403122539779,54.832532403186285,-0.0316707532620763,-0.2968134195437172,-0.064596124484925,60.570006165932085
1449,hmi.sharp_cea_720s.1449.20120305_080000_TAI,1093.7955601364768,4.618986247455256e+23,23106450433039.062,455.1357840252037,14624708086322.01,1.0783889562068343e+22,7.019211402687993e+21,16638.934639548337,4.503616573373523,58.52680609720489,62.77131560365945,60.74517464384316,79.41224265859518,48.84375407866819,-0.0217747480635921,-0.9284848023753652,-0.0517578416990081,65.46428742285796
1450,hmi.sharp_cea_720s.1450.20120303_080000_TAI,18.659500890281727,9.81718644996689e+20,881079002825.2522,0.9381839168130542,335854218767.7788,1.8806191182935707e+20,1.4661795162536952e+20,983.0070479620828,0.0,46.72874994813586,48.13851990445414,86.2422996889164,84.04339554229594,47.016182591036895,0.0012816720175041,-0.1538880887479234,0.0139911465038473,44.015957446808514
