model,parameters,training_time,accuracy,precision,recall,f1,tss,tn,fp,fn,tp
SVM,rs=2|kernel=rbf|C=0.1,238.820451,0.8434923201293452,0.7949224259520451,0.9212160836874795,0.8534221683827983,0.6886505046727642,2399,727,241,2818
SVM,rs=2|kernel=rbf|C=1,209.849797,0.8525464834276475,0.8134306569343066,0.9107551487414187,0.8593460826650215,0.706340561409365,2487,639,273,2786
SVM,rs=2|kernel=rbf|C=100,320.919623,0.8604688763136621,0.8355745721271394,0.8937561294540699,0.8636866213868267,0.7216512030305254,2588,538,325,2734
SVM,rs=2|kernel=rbf|C=1000,811.406336,0.859013742926435,0.8448438978240302,0.8757763975155279,0.860032102728732,0.7183867621988292,2634,492,380,2679
SVM,rs=2|kernel=poly|C=0.1,233.743323,0.8352465642683913,0.7791461412151067,0.9306963059823472,0.8482049754208253,0.6725389163470306,2319,807,212,2847
SVM,rs=2|kernel=poly|C=1,227.302442,0.8376717865804365,0.783448275862069,0.9284079764628964,0.8497905445840814,0.6772883347482451,2341,785,219,2840
SVM,rs=2|kernel=poly|C=100,356.509772,0.8510913500404204,0.8102147417295414,0.9127165740438051,0.8584166026133744,0.7035035222203886,2472,654,267,2792
SVM,rs=2|kernel=poly|C=1000,1897.282755,0.8531932093775263,0.8181011535048802,0.9042170644001307,0.8590062111801242,0.7074800202542574,2511,615,293,2766
SVM,rs=2|kernel=sigmoid|C=0.1,254.28144,0.72821341956346,0.7183143219264893,0.7410918600849951,0.7295253419147224,0.4567028645635619,2237,889,792,2267
SVM,rs=2|kernel=sigmoid|C=1,151.035205,0.7181891673403396,0.7069182389937106,0.7348806799607714,0.7206283058182401,0.43673608623076504,2194,932,811,2248
SVM,rs=2|kernel=sigmoid|C=100,212.076465,0.716410670978173,0.7051241747878025,0.7332461588754495,0.7189102564102564,0.433182179348898,2188,938,816,2243
SVM,rs=2|kernel=sigmoid|C=1000,197.674456,0.7162489894907034,0.7049025769956002,0.7332461588754495,0.7187950648934466,0.4328622817161405,2187,939,816,2243
SVM,rs=4|kernel=rbf|C=0.1,108.623744,0.8434923201293452,0.7949224259520451,0.9212160836874795,0.8534221683827983,0.6886505046727642,2399,727,241,2818
SVM,rs=4|kernel=rbf|C=1,226.444814,0.8525464834276475,0.8134306569343066,0.9107551487414187,0.8593460826650215,0.706340561409365,2487,639,273,2786
SVM,rs=4|kernel=rbf|C=100,322.324044,0.8604688763136621,0.8355745721271394,0.8937561294540699,0.8636866213868267,0.7216512030305254,2588,538,325,2734
SVM,rs=4|kernel=rbf|C=1000,808.834727,0.859013742926435,0.8448438978240302,0.8757763975155279,0.860032102728732,0.7183867621988292,2634,492,380,2679
SVM,rs=4|kernel=poly|C=0.1,232.074265,0.8352465642683913,0.7791461412151067,0.9306963059823472,0.8482049754208253,0.6725389163470306,2319,807,212,2847
SVM,rs=4|kernel=poly|C=1,131.337655,0.8376717865804365,0.783448275862069,0.9284079764628964,0.8497905445840814,0.6772883347482451,2341,785,219,2840
SVM,rs=4|kernel=poly|C=100,491.770884,0.8510913500404204,0.8102147417295414,0.9127165740438051,0.8584166026133744,0.7035035222203886,2472,654,267,2792
SVM,rs=4|kernel=poly|C=1000,2093.82009,0.8531932093775263,0.8181011535048802,0.9042170644001307,0.8590062111801242,0.7074800202542574,2511,615,293,2766
SVM,rs=4|kernel=sigmoid|C=0.1,132.276992,0.72821341956346,0.7183143219264893,0.7410918600849951,0.7295253419147224,0.4567028645635619,2237,889,792,2267
SVM,rs=4|kernel=sigmoid|C=1,207.712156,0.7181891673403396,0.7069182389937106,0.7348806799607714,0.7206283058182401,0.43673608623076504,2194,932,811,2248
SVM,rs=4|kernel=sigmoid|C=100,202.99809,0.716410670978173,0.7051241747878025,0.7332461588754495,0.7189102564102564,0.433182179348898,2188,938,816,2243
SVM,rs=4|kernel=sigmoid|C=1000,127.828137,0.7162489894907034,0.7049025769956002,0.7332461588754495,0.7187950648934466,0.4328622817161405,2187,939,816,2243
SVM,rs=8|kernel=rbf|C=0.1,235.349238,0.8434923201293452,0.7949224259520451,0.9212160836874795,0.8534221683827983,0.6886505046727642,2399,727,241,2818
SVM,rs=8|kernel=rbf|C=1,107.812354,0.8525464834276475,0.8134306569343066,0.9107551487414187,0.8593460826650215,0.706340561409365,2487,639,273,2786
SVM,rs=8|kernel=rbf|C=100,299.42609,0.8604688763136621,0.8355745721271394,0.8937561294540699,0.8636866213868267,0.7216512030305254,2588,538,325,2734
SVM,rs=8|kernel=rbf|C=1000,808.413942,0.859013742926435,0.8448438978240302,0.8757763975155279,0.860032102728732,0.7183867621988292,2634,492,380,2679
SVM,rs=8|kernel=poly|C=0.1,243.955841,0.8352465642683913,0.7791461412151067,0.9306963059823472,0.8482049754208253,0.6725389163470306,2319,807,212,2847
SVM,rs=8|kernel=poly|C=1,217.005315,0.8376717865804365,0.783448275862069,0.9284079764628964,0.8497905445840814,0.6772883347482451,2341,785,219,2840
SVM,rs=8|kernel=poly|C=100,497.747528,0.8510913500404204,0.8102147417295414,0.9127165740438051,0.8584166026133744,0.7035035222203886,2472,654,267,2792
SVM,rs=8|kernel=poly|C=1000,2122.619808,0.8531932093775263,0.8181011535048802,0.9042170644001307,0.8590062111801242,0.7074800202542574,2511,615,293,2766
SVM,rs=8|kernel=sigmoid|C=0.1,234.126815,0.72821341956346,0.7183143219264893,0.7410918600849951,0.7295253419147224,0.4567028645635619,2237,889,792,2267
SVM,rs=8|kernel=sigmoid|C=1,211.725241,0.7181891673403396,0.7069182389937106,0.7348806799607714,0.7206283058182401,0.43673608623076504,2194,932,811,2248
SVM,rs=8|kernel=sigmoid|C=100,192.651067,0.716410670978173,0.7051241747878025,0.7332461588754495,0.7189102564102564,0.433182179348898,2188,938,816,2243
SVM,rs=8|kernel=sigmoid|C=1000,153.088806,0.7162489894907034,0.7049025769956002,0.7332461588754495,0.7187950648934466,0.4328622817161405,2187,939,816,2243
SVM,rs=16|kernel=rbf|C=0.1,109.776014,0.8434923201293452,0.7949224259520451,0.9212160836874795,0.8534221683827983,0.6886505046727642,2399,727,241,2818
SVM,rs=16|kernel=rbf|C=1,238.869283,0.8525464834276475,0.8134306569343066,0.9107551487414187,0.8593460826650215,0.706340561409365,2487,639,273,2786
SVM,rs=16|kernel=rbf|C=100,329.568671,0.8604688763136621,0.8355745721271394,0.8937561294540699,0.8636866213868267,0.7216512030305254,2588,538,325,2734
SVM,rs=16|kernel=rbf|C=1000,808.234531,0.859013742926435,0.8448438978240302,0.8757763975155279,0.860032102728732,0.7183867621988292,2634,492,380,2679
SVM,rs=16|kernel=poly|C=0.1,233.628666,0.8352465642683913,0.7791461412151067,0.9306963059823472,0.8482049754208253,0.6725389163470306,2319,807,212,2847
SVM,rs=16|kernel=poly|C=1,214.780747,0.8376717865804365,0.783448275862069,0.9284079764628964,0.8497905445840814,0.6772883347482451,2341,785,219,2840
SVM,rs=16|kernel=poly|C=100,497.408053,0.8510913500404204,0.8102147417295414,0.9127165740438051,0.8584166026133744,0.7035035222203886,2472,654,267,2792
SVM,rs=16|kernel=poly|C=1000,2144.274729,0.8531932093775263,0.8181011535048802,0.9042170644001307,0.8590062111801242,0.7074800202542574,2511,615,293,2766
SVM,rs=16|kernel=sigmoid|C=0.1,144.898901,0.72821341956346,0.7183143219264893,0.7410918600849951,0.7295253419147224,0.4567028645635619,2237,889,792,2267
SVM,rs=16|kernel=sigmoid|C=1,223.304167,0.7181891673403396,0.7069182389937106,0.7348806799607714,0.7206283058182401,0.43673608623076504,2194,932,811,2248
SVM,rs=16|kernel=sigmoid|C=100,221.572472,0.716410670978173,0.7051241747878025,0.7332461588754495,0.7189102564102564,0.433182179348898,2188,938,816,2243
SVM,rs=16|kernel=sigmoid|C=1000,227.473669,0.7162489894907034,0.7049025769956002,0.7332461588754495,0.7187950648934466,0.4328622817161405,2187,939,816,2243
SVM,rs=32|kernel=rbf|C=0.1,237.015694,0.8434923201293452,0.7949224259520451,0.9212160836874795,0.8534221683827983,0.6886505046727642,2399,727,241,2818
SVM,rs=32|kernel=rbf|C=1,202.118048,0.8525464834276475,0.8134306569343066,0.9107551487414187,0.8593460826650215,0.706340561409365,2487,639,273,2786
SVM,rs=32|kernel=rbf|C=100,328.190873,0.8604688763136621,0.8355745721271394,0.8937561294540699,0.8636866213868267,0.7216512030305254,2588,538,325,2734
SVM,rs=32|kernel=rbf|C=1000,800.266403,0.859013742926435,0.8448438978240302,0.8757763975155279,0.860032102728732,0.7183867621988292,2634,492,380,2679
SVM,rs=32|kernel=poly|C=0.1,103.311223,0.8352465642683913,0.7791461412151067,0.9306963059823472,0.8482049754208253,0.6725389163470306,2319,807,212,2847
SVM,rs=32|kernel=poly|C=1,211.930218,0.8376717865804365,0.783448275862069,0.9284079764628964,0.8497905445840814,0.6772883347482451,2341,785,219,2840
SVM,rs=32|kernel=poly|C=100,495.343417,0.8510913500404204,0.8102147417295414,0.9127165740438051,0.8584166026133744,0.7035035222203886,2472,654,267,2792
SVM,rs=32|kernel=poly|C=1000,2101.640645,0.8531932093775263,0.8181011535048802,0.9042170644001307,0.8590062111801242,0.7074800202542574,2511,615,293,2766
SVM,rs=32|kernel=sigmoid|C=0.1,221.333169,0.72821341956346,0.7183143219264893,0.7410918600849951,0.7295253419147224,0.4567028645635619,2237,889,792,2267
SVM,rs=32|kernel=sigmoid|C=1,205.436293,0.7181891673403396,0.7069182389937106,0.7348806799607714,0.7206283058182401,0.43673608623076504,2194,932,811,2248
SVM,rs=32|kernel=sigmoid|C=100,122.518597,0.716410670978173,0.7051241747878025,0.7332461588754495,0.7189102564102564,0.433182179348898,2188,938,816,2243
SVM,rs=32|kernel=sigmoid|C=1000,197.237158,0.7162489894907034,0.7049025769956002,0.7332461588754495,0.7187950648934466,0.4328622817161405,2187,939,816,2243
