model,parameters,training_time,accuracy,precision,recall,f1,tss,tn,fp,fn,tp
RF,rs=16|n_est=50|depth=10,2.733253,0.8254342066529291,0.8361762615493958,0.9468812877263582,0.8880920928477071,0.44139883158600723,451,461,132,2353
RF,rs=16|n_est=50|depth=20,3.900534,0.816897262290256,0.8349514563106796,0.9344064386317907,0.881883782757311,0.43111696494758023,453,459,163,2322
RF,rs=16|n_est=50|depth=None,4.705123,0.8166028848984398,0.8380537400145244,0.9287726358148893,0.8810841763695362,0.43973754809559107,466,446,177,2308
RF,rs=16|n_est=100|depth=5,3.296416,0.8207241683838681,0.827972027972028,0.9529175050301811,0.8860617399438728,0.4134438208196548,420,492,117,2368
RF,rs=16|n_est=100|depth=10,5.381026,0.8230791875183986,0.833805811481219,0.9468812877263582,0.8867533446391558,0.4326269017614459,443,469,132,2353
RF,rs=16|n_est=100|depth=20,7.962001,0.8219016779511333,0.8378864126527678,0.9380281690140845,0.8851338522878299,0.44351062515443535,461,451,154,2331
RF,rs=16|n_est=100|depth=None,8.105249,0.8207241683838681,0.8366834170854272,0.9380281690140845,0.8844621513944223,0.43912466024215463,457,455,154,2331
RF,rs=16|n_est=1000|depth=5,26.603843,0.8204297909920518,0.8283712784588442,0.9517102615694165,0.8857677902621723,0.4144295598150306,422,490,120,2365
RF,rs=16|n_est=1000|depth=10,46.612953,0.8221960553429497,0.8324496288441146,0.9476861167002012,0.8863379751599548,0.42794927459493803,438,474,130,2355
RF,rs=16|n_est=1000|depth=20,63.043927,0.8227848101265823,0.8366106542724348,0.9416498993963782,0.8860280196895115,0.440553408168308,455,457,145,2340
RF,rs=16|n_est=1000|depth=None,64.206747,0.8219016779511333,0.8364352183249821,0.9404426559356137,0.8853949611668877,0.4393461647075435,455,457,148,2337
RF,rs=32|n_est=50|depth=5,1.699757,0.8201354136002355,0.8283111422564822,0.9513078470824949,0.8855590934631954,0.414027145328109,422,490,121,2364
RF,rs=32|n_est=50|depth=10,3.048701,0.8236679423020312,0.8358262108262108,0.9444668008048289,0.8868316644624976,0.438984344664478,451,461,138,2347
RF,rs=32|n_est=50|depth=20,4.537402,0.8221960553429497,0.83745963401507,0.9392354124748491,0.8854324734446131,0.4425248861590596,459,453,151,2334
RF,rs=32|n_est=50|depth=None,4.479468,0.8242566970856638,0.8435225618631732,0.9327967806841047,0.8859163004012994,0.4613055526139292,482,430,167,2318
RF,rs=32|n_est=100|depth=5,3.547607,0.8204297909920518,0.8276826284515904,0.9529175050301811,0.8858959970071081,0.4123473295915846,419,493,117,2368
RF,rs=32|n_est=100|depth=10,5.411404,0.8260229614365616,0.8372507122507122,0.9460764587525151,0.8883430946533157,0.4449799675244449,455,457,134,2351
RF,rs=32|n_est=100|depth=20,7.621676,0.8233735649102149,0.8362468783446307,0.9432595573440644,0.886535552193646,0.4399700836598539,453,459,141,2344
RF,rs=32|n_est=100|depth=None,7.919621,0.822490432734766,0.8384892086330935,0.9380281690140845,0.8854700854700854,0.4457036076105757,463,449,154,2331
RF,rs=32|n_est=1000|depth=5,27.54204,0.8207241683838681,0.8284313725490197,0.952112676056338,0.8859764089121888,0.41483197430195207,422,490,119,2366
RF,rs=32|n_est=1000|depth=10,47.296393,0.8239623196938475,0.8342189160467588,0.9476861167002012,0.8873398643556896,0.43452822196335905,444,468,130,2355
RF,rs=32|n_est=1000|depth=20,63.817723,0.8216073005593171,0.8356555912826009,0.9412474849094568,0.8853141559424679,0.43686151999717604,452,460,146,2339
RF,rs=32|n_est=1000|depth=None,66.194223,0.8213129231675007,0.8355968548963545,0.9408450704225352,0.8851031610827181,0.43645910551025446,452,460,147,2338
FCNN,rs=2|alpha=0|dropout=0.1,8.85875,0.8154253753311745,0.8320228734810579,0.93682092555332,0.8813174332765474,0.4214700483603375,442,470,157,2328
FCNN,rs=2|alpha=0|dropout=0.3,7.540071,0.8098322048866647,0.8261794962752749,0.9372233400402414,0.8782051282051282,0.3999426382858555,422,490,156,2329
FCNN,rs=2|alpha=0|dropout=0.5,7.219305,0.8077715631439506,0.8239038189533239,0.937625754527163,0.8770939205721815,0.39157312294821567,414,498,155,2330
FCNN,rs=2|alpha=0|dropout=0.7,11.654997,0.810126582278481,0.823943661971831,0.9416498993963782,0.8788732394366198,0.39340428536129046,412,500,145,2340
FCNN,rs=2|alpha=0.01|dropout=0.1,6.964,0.8118928466293789,0.8315373563218391,0.93158953722334,0.878724615676599,0.4173351512584278,443,469,170,2315
FCNN,rs=2|alpha=0.01|dropout=0.3,7.125465,0.8092434501030321,0.8251327433628318,0.9380281690140845,0.8779661016949153,0.39636150234741785,418,494,154,2331
FCNN,rs=2|alpha=0.01|dropout=0.5,9.958736,0.8115984692375625,0.8265486725663717,0.9396378269617707,0.879472693032015,0.40235712520738476,422,490,150,2335
FCNN,rs=2|alpha=0.01|dropout=0.7,9.766575,0.8092434501030321,0.8251327433628318,0.9380281690140845,0.8779661016949153,0.39636150234741785,418,494,154,2331
FCNN,rs=2|alpha=0.1|dropout=0.1,7.115606,0.8092434501030321,0.829802513464991,0.929979879275654,0.8770398481973435,0.4102430371703908,438,474,174,2311
FCNN,rs=2|alpha=0.1|dropout=0.3,6.653216,0.8118928466293789,0.827304964539007,0.9388329979879275,0.8795475966069746,0.4048417699177521,425,487,152,2333
FCNN,rs=2|alpha=0.1|dropout=0.5,7.236673,0.8089490727112157,0.8253012048192772,0.9372233400402414,0.8777086866402865,0.3966531646016449,419,493,156,2329
FCNN,rs=2|alpha=0.1|dropout=0.7,9.076769,0.8077715631439506,0.824822695035461,0.9360160965794768,0.8769085768143261,0.3943494299128102,418,494,159,2326
FCNN,rs=4|alpha=0|dropout=0.1,7.658804,0.8095378274948484,0.8279800142755175,0.9336016096579477,0.8776243616417628,0.4050928377281231,430,482,165,2320
FCNN,rs=4|alpha=0|dropout=0.3,8.38635,0.8133647335884604,0.8294766820932716,0.937625754527163,0.8802417831507366,0.4124064562815489,433,479,155,2330
FCNN,rs=4|alpha=0|dropout=0.5,6.992064,0.8113040918457463,0.8290506780870807,0.9348088531187123,0.8787592207300927,0.4095895548730982,433,479,162,2323
FCNN,rs=4|alpha=0|dropout=0.7,7.721112,0.8083603179275831,0.8256392045454546,0.9356136820925554,0.8771929824561403,0.39723648911009923,421,491,160,2325
FCNN,rs=4|alpha=0.01|dropout=0.1,7.002508,0.8115984692375625,0.8272437034409365,0.938430583501006,0.8793363499245852,0.40443935543083065,425,487,153,2332
FCNN,rs=4|alpha=0.01|dropout=0.3,8.91161,0.8127759788048278,0.8295900178253119,0.9364185110663984,0.879773156899811,0.4122957040488545,434,478,158,2327
FCNN,rs=4|alpha=0.01|dropout=0.5,7.581224,0.810126582278481,0.8260099220411056,0.9380281690140845,0.8784624081401922,0.39965097603162836,421,491,154,2331
FCNN,rs=4|alpha=0.01|dropout=0.7,7.748779,0.8083603179275831,0.8242574257425742,0.9380281690140845,0.8774703557312253,0.39307202866320734,415,497,154,2331
FCNN,rs=4|alpha=0.1|dropout=0.1,7.638493,0.8113040918457463,0.8384728340675477,0.9191146881287726,0.8769437511998465,0.4366585477778954,472,440,201,2284
