model,parameters,training_time,accuracy,precision,recall,f1,tss,tn,fp,fn,tp
RF,rs=8|n_est=100|depth=10,5.370521,0.8666470415072123,0.8625981441827266,0.972635814889336,0.9143181388310951,0.5504866920823185,527,385,68,2417
RF,rs=8|n_est=100|depth=20,7.421529,0.8657639093317633,0.8784035807534502,0.9476861167002012,0.9117305458768873,0.590229976349324,586,326,130,2355
RF,rs=8|n_est=100|depth=None,8.068504,0.8690020606417427,0.879746835443038,0.9509054325955735,0.9139431444594855,0.5967387659289067,589,323,122,2363
RF,rs=8|n_est=1000|depth=5,27.784766,0.8504562849573153,0.8457502623294858,0.9730382293762575,0.9049401197604791,0.48948559779731016,471,441,67,2418
RF,rs=8|n_est=1000|depth=10,44.110325,0.8660582867235797,0.862759113652609,0.9714285714285714,0.9138746924096157,0.5503759398496241,528,384,71,2414
RF,rs=8|n_est=1000|depth=20,64.706576,0.8710627023844568,0.8778146917681802,0.9569416498993963,0.9156719291490181,0.5940030534081683,581,331,107,2378
RF,rs=8|n_est=1000|depth=None,67.726712,0.8698851928171917,0.8784735087069285,0.9541247484909456,0.9147376543209876,0.5944756256839281,584,328,114,2371
RF,rs=16|n_est=50|depth=5,1.866746,0.8525169267000294,0.8478260869565217,0.9730382293762575,0.9061270376616076,0.4971610363938014,478,434,67,2418
RF,rs=16|n_est=50|depth=10,3.240721,0.8622313806299676,0.8597930788440956,0.9698189134808853,0.9114977307110439,0.5388978608493065,519,393,75,2410
RF,rs=16|n_est=50|depth=20,4.364522,0.869296438033559,0.8803578084234066,0.9505030181086519,0.9140866873065016,0.5985293338981256,591,321,123,2362
RF,rs=16|n_est=50|depth=None,4.612469,0.8610538710627024,0.8793818318884282,0.9388329979879275,0.9081354612689763,0.5879558050054714,592,320,152,2333
RF,rs=16|n_est=100|depth=5,3.451795,0.8504562849573153,0.8462346760070053,0.9722334004024145,0.9048689138576779,0.4908737512796074,473,439,69,2416
RF,rs=16|n_est=100|depth=10,6.025068,0.8631145128054165,0.8596866096866097,0.9714285714285714,0.9121481201587002,0.5394110275689223,518,394,71,2414
RF,rs=16|n_est=100|depth=20,7.975409,0.8722402119517221,0.8808020794652803,0.9545271629778672,0.9161838547701815,0.6025534787673409,591,321,113,2372
RF,rs=16|n_est=100|depth=None,7.985032,0.8666470415072123,0.8793876026885735,0.9476861167002012,0.9122603137710633,0.5935194500335346,589,323,130,2355
RF,rs=16|n_est=1000|depth=5,27.67526,0.8504562849573153,0.8457502623294858,0.9730382293762575,0.9049401197604791,0.48948559779731016,471,441,67,2418
RF,rs=16|n_est=1000|depth=10,45.772564,0.8669414188990285,0.8629061049625134,0.972635814889336,0.914491108588725,0.5515831833103887,528,384,68,2417
RF,rs=16|n_est=1000|depth=20,64.897259,0.8716514571680894,0.8776262440103206,0.958148893360161,0.9161215852250866,0.5941138056408627,580,332,104,2381
RF,rs=16|n_est=1000|depth=None,66.501252,0.8725345893435384,0.8802816901408451,0.9557344064386318,0.916457650009647,0.6015677397719652,589,323,110,2375
RF,rs=32|n_est=50|depth=5,1.88868,0.8495731527818664,0.8453463960811757,0.9722334004024145,0.9043608459666854,0.4875842775953969,470,442,69,2416
RF,rs=32|n_est=50|depth=10,2.598358,0.8681189284662938,0.8644007155635063,0.9722334004024145,0.9151515151515152,0.5566632249638179,533,379,69,2416
RF,rs=32|n_est=50|depth=20,3.950532,0.8666470415072123,0.8762962962962964,0.952112676056338,0.912632594021215,0.5858846058808994,578,334,119,2366
RF,rs=32|n_est=50|depth=None,4.0402,0.8648807771563144,0.8802552552552553,0.9436619718309859,0.9108564769858225,0.5938812700765999,593,319,140,2345
RF,rs=32|n_est=100|depth=5,3.511142,0.8504562849573153,0.8459922996149808,0.972635814889336,0.9049045301385249,0.49017967453845884,472,440,68,2417
RF,rs=32|n_est=100|depth=10,5.283042,0.8669414188990285,0.864206377642422,0.9706237424547284,0.9143290371493555,0.5550535670161318,533,379,73,2412
