file_name,HARPNUM,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,USFLUXL,MEANPOT,R_VALUE,MEANSHR,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZH,MEANJZD,MEANALP,SHRGT45
hmi.sharp_cea_720s.5956.20150917_010000_TAI,5956,954.6924741387172,1.7947605187074863e+23,28448176854001.266,66.14865622600412,2133614101561.9487,7.675129079701841e+21,5.456273987846191e+21,6263.874928947326,4.021209104392381,56.27735388548292,62.0233995823202,83.63966645506221,82.74285652481761,59.41511328798353,-0.0030665549221642,0.1860154886032619,-0.0129341525319837,61.66859791425261
hmi.sharp_cea_720s.5956.20150917_020000_TAI,5956,652.2834281439425,1.4247935921427446e+23,18987755631330.48,22.1405640734547,975312283787.3296,5.594309836473846e+21,3.992594398953721e+21,7278.499634042063,4.030066764336051,55.65902928314123,62.036898539083374,82.30203371553263,82.84022465871097,59.43068790409246,0.0015020735463673,0.1226885429502779,0.0060068052266669,63.10719131614654
hmi.sharp_cea_720s.5956.20150917_030000_TAI,5956,693.3977848763094,1.4851186612716147e+23,21804396312686.79,8.612712795216376,2877179107978.2456,6.098750187329461e+21,4.2747091449359903e+21,6412.126328900577,3.968903691677782,55.900478649855714,61.25780077448895,80.07211683911666,80.13810945615627,56.80970703375004,-0.0004939048511994,0.3102468424024933,-0.002195121524998,61.897935779816514
hmi.sharp_cea_720s.5956.20150917_040000_TAI,5956,885.6430084277354,1.7125781671542305e+23,28091516364786.074,30.39040742679593,3573290869463.204,7.549351644811304e+21,5.379975459145637e+21,5702.435448060558,4.009319038584159,55.20058688347719,61.08879821166116,80.1356013316661,80.25929864498121,55.89146498983107,-0.0013439352331312,0.297126802611025,-0.0064105255674735,60.39179269479084
hmi.sharp_cea_720s.5956.20150917_050000_TAI,5956,745.7552121714037,1.4645899047592629e+23,23466972887953.78,69.57210430307622,2629703996750.7334,5.908485655971412e+21,4.1062178856604936e+21,6082.493594140158,4.157370595854928,56.211280330636654,60.95375603861785,79.41795176260202,82.70927173716015,55.58368372724791,-0.0038374023333191,0.2488651975264339,-0.0195236505301931,61.85538580332028
hmi.sharp_cea_720s.5956.20150917_060000_TAI,5956,776.5688222691201,1.4920048596395365e+23,28361133770235.3,12.623313793785696,2031009267392.18,6.215827835301909e+21,4.58239543442076e+21,5309.607923757705,4.022432501722588,58.35142617865274,62.59171755412928,78.23591212698265,77.33271257687485,55.33275234736423,-0.0005965931184737,0.1748408743562591,-0.0034145881848206,64.00586039037762
hmi.sharp_cea_720s.5956.20150917_100000_TAI,5956,655.6823489024564,1.489651818879763e+23,27451823849224.504,79.05942058401527,4630964276705.82,6.755169532380801e+21,4.950650291943735e+21,4694.041848378218,3.969243950766816,57.34377235213284,61.71298138242887,74.74229255120443,72.28511411076332,51.323529170845205,0.0033084792678278,0.1646924835844693,0.0206788570563168,61.81787746903248
hmi.sharp_cea_720s.5956.20150917_110000_TAI,5956,702.7527596804249,1.56197103766051e+23,30681709920207.05,78.720588380886,9048568609170.68,7.217538701293129e+21,5.324544658503772e+21,4612.508340728972,3.973094211198208,57.610199429432654,62.20588162324768,75.58204814809564,73.01666527422503,52.24286798627391,0.0030873240403516,0.1781378670713104,0.0188540302195277,61.7906584571944
hmi.sharp_cea_720s.5956.20150917_120000_TAI,5956,652.8104856770266,1.4982226960105204e+23,28720313448360.64,106.67266969342514,8611395423461.371,6.685634453511621e+21,4.898152423290613e+21,4731.146860479049,3.931084380226632,57.84450537299117,62.67543460952695,73.79791381445868,71.74396122974608,50.96360686908223,0.0044739617369217,0.1794539597242496,0.027649539433563,62.83078213461941
hmi.sharp_cea_720s.5956.20150917_130000_TAI,5956,644.8875618507873,1.4033954431205367e+23,25245659449162.32,65.51112137392029,8663453630767.337,6.135822958868059e+21,4.43856458536473e+21,5285.80499784661,4.027349990908273,56.702925603538375,62.33718233193335,79.09731633857184,78.57500084302488,54.23705551755656,0.0032770307325256,0.3083895510859645,0.0180064291026505,61.8547418967587
hmi.sharp_cea_720s.5956.20150917_140000_TAI,5956,703.8066592605874,1.506501256337871e+23,29080723033029.742,50.80209738703324,5333708032059.658,6.695263938906329e+21,4.796858106501067e+21,4815.858436789845,3.9031869938685833,57.24889096304207,62.37689086446109,75.71364704030414,74.10193112762353,51.54665578313854,0.0021570184012836,0.1590796702666714,0.013232846781459,62.13967310549777
hmi.sharp_cea_720s.5956.20150917_150000_TAI,5956,718.678205884085,1.459422836566686e+23,28123054304486.6,27.22593837027473,4045092904351.01,6.489119731797759e+21,4.588550914619274e+21,4732.059890496765,4.013149836073826,57.2573904397561,61.64363102762396,76.19316860243734,75.1820559753941,51.82711651422696,-0.0011723695633757,0.3278666873060782,-0.0077113406722793,61.60702751582483
hmi.sharp_cea_720s.5956.20150917_160000_TAI,5956,664.1587659270965,1.3385242170971832e+23,25302585125224.6,49.19991420486274,1642274957289.3647,6.068774500477455e+21,4.2469551722516206e+21,4646.158949053192,4.02254006773027,56.16426788952271,61.27966030817301,76.78304677917144,76.21554740899029,51.30547391744543,-0.0022681133231081,0.1425178357043149,-0.0156750296281127,61.26400221269533
hmi.sharp_cea_720s.5956.20150917_170000_TAI,5956,681.2845365886038,1.420036041016035e+23,26128725028662.723,75.69699555860356,2048279770118.3923,6.694149125224862e+21,4.609474624916089e+21,4667.460130912939,4.047057243684499,55.85642597740876,60.9497627752851,76.8954072813974,76.72053977188206,51.01998118038765,-0.003304247045205,0.1683329489899579,-0.0213054955076822,60.653018464358986
hmi.sharp_cea_720s.5956.20150917_180000_TAI,5956,736.6591330221855,1.4426880100682798e+23,26585336019915.145,188.15930382551656,5304351730621.473,6.395225548484409e+21,4.455001563496438e+21,5116.693510970207,4.001383268970413,56.03012378352287,61.76162186609746,80.48339597233571,80.68926240535373,54.20049037343178,-0.0088633145143679,0.0223906573096444,-0.0523117622161988,61.08049550186049
hmi.sharp_cea_720s.5956.20150917_190000_TAI,5956,693.6001008776344,1.3210429805473838e+23,27526580872857.42,136.13379273569947,3456140083518.124,6.257481358322923e+21,4.278532740735673e+21,4633.322443498567,3.878570437506019,56.06163181349153,60.84311942896266,80.0476053379437,80.15437753928258,52.70547991270565,-0.006340947074186,0.2235623760320575,-0.0419234570212159,60.96697563929386
hmi.sharp_cea_720s.5956.20150917_200000_TAI,5956,650.3878776470233,1.2912916634456589e+23,23853808348657.816,98.21024187856644,4440344149445.152,6.316816714037405e+21,4.147364973321476e+21,4705.408060281945,3.974026114850305,54.60871391018699,59.71249854204938,79.07386597816316,79.95719236888226,50.88572357938562,-0.0047527217324122,0.141012271891084,-0.028985332153971,59.38346883468834
hmi.sharp_cea_720s.5956.20150917_210000_TAI,5956,647.5544061038545,1.20160484085331e+23,24599818232331.87,105.51328431844767,1916285481882.3823,6.140389685025885e+21,3.982170685489567e+21,4286.289006882149,3.890690999995439,54.811856099093966,59.61309657857679,77.86529653448778,77.58462036959307,50.36518110253006,-0.004998497527995,0.0657799823452311,-0.032557664177607,59.4059405940594
hmi.sharp_cea_720s.5956.20150917_220000_TAI,5956,736.4390501063458,1.4474770935608222e+23,28722596633614.457,101.18662026475629,1185595379386.7378,7.116889688779389e+21,4.7002690635377054e+21,4518.222900588565,3.899223571225447,54.61950313375686,59.38753568141611,78.63005559858216,76.60574409564227,51.09451067668257,-0.0041947856838055,0.0925280607553067,-0.0267433731977344,59.142726858185135
hmi.sharp_cea_720s.5956.20150917_230000_TAI,5956,821.3864663025643,1.573860768187539e+23,30094004896049.82,143.0663168986022,1728221244504.3667,7.734231371084983e+21,5.077278754110994e+21,4825.901144789051,3.910262311967144,53.8141512050346,59.03873401485695,80.40093419324333,79.29080613132147,53.66089382967328,-0.0058268365127928,-0.0456271844797862,-0.0317966107806399,58.13820906462516
hmi.sharp_cea_720s.5956.20150918_000000_TAI,5956,779.2722266966354,1.4901181926693112e+23,34866955675648.28,91.72428603096672,1886684815714.3032,7.953815175574785e+21,5.146206001481739e+21,3881.0126398028015,3.945002800286519,53.89434616348129,57.93287142804671,74.91204781422361,73.38436358726484,49.17318009289355,-0.003172752889345,-0.1228318132115122,-0.0218059757586654,58.14395904672962
hmi.sharp_cea_720s.5956.20150918_010000_TAI,5956,810.4254072149391,1.4743561398019532e+23,34494420642461.527,123.52013240740096,1315139534346.087,8.474404854758299e+21,5.554373620348089e+21,3832.535463195848,3.875757011818095,53.31116235581526,57.166918476862726,76.80626699458128,74.29099143025257,49.455908853978,-0.0042644616746901,-0.0854456411434495,-0.026989793132717,56.792211827251705
hmi.sharp_cea_720s.5956.20150918_020000_TAI,5956,895.954224061132,1.6150053316398603e+23,39795603232722.57,122.85185698061449,3336431197042.392,9.119959833803008e+21,5.921071305355634e+21,3671.5110964595137,3.8344354374703618,53.84666605097805,57.25562818315807,74.0675834227141,71.62627406735204,48.286716815407424,-0.00370929519869,-0.1272566614886897,-0.0260095926915563,57.89807378781474
hmi.sharp_cea_720s.5956.20150918_030000_TAI,5956,902.9280658670652,1.7238505136069933e+23,41667723966571.45,153.87198394683006,2092903042810.959,9.44448606460812e+21,6.320031453203521e+21,3676.5327864822175,3.8871032428977577,53.98909220757425,58.02480783623541,71.90888257419749,70.23215666755438,47.27702733396846,-0.0043583623834252,0.0362977577189792,-0.0323479886610403,58.31869937121169
hmi.sharp_cea_720s.5956.20150918_040000_TAI,5956,787.2015412648259,1.2891288064196516e+23,34608436547162.8,116.9080819999563,3263124561237.974,7.805690264174297e+21,4.855308994470154e+21,3218.7045765966704,3.855333935172861,51.97713160795534,56.98241171552287,74.43148754768265,72.64394656365458,47.01482990717686,-0.0038765197294235,0.0611720324642794,-0.035115012378646,55.149545725843886
hmi.sharp_cea_720s.5956.20150918_050000_TAI,5956,784.1079079052413,1.238547152225626e+23,33515156232907.4,104.71047099050747,2583123745213.3174,8.240933333346372e+21,5.128941966242211e+21,3107.1450431780727,3.8878179242234174,50.92590826071643,56.123800352521606,75.7450715454082,74.43126220584044,46.97020806661029,-0.0034889534516362,0.1619099503076456,-0.0293526057971235,53.59653506580043
hmi.sharp_cea_720s.5956.20150918_060000_TAI,5956,846.1464835758079,1.4342784252647135e+23,35755977262081.11,138.96438234655116,3536341585052.2266,8.860998449865864e+21,6.175249464951251e+21,3482.050726246246,3.886698732590644,52.466733576881936,57.6646742786692,75.84991469125441,76.12444652254823,48.61456089850405,-0.0044805540011784,0.2094231007432459,-0.0323607673292805,55.14250709311324
hmi.sharp_cea_720s.5956.20150918_070000_TAI,5956,945.0545551914256,1.5863815727847273e+23,40190186989215.88,130.41576442449062,4535285254736.719,9.447974170922152e+21,6.683817972407911e+21,3609.162752098329,3.9017214494753296,52.9430747927623,57.60019992195877,77.94242075551247,77.5485615634073,49.745856058669006,-0.0039405295027946,0.2578002089165583,-0.0294738681436182,56.64863884944255
hmi.sharp_cea_720s.5956.20150918_080000_TAI,5956,949.7391006234656,1.5457360976529413e+23,40206272819317.31,159.5768874667926,5134036299521.808,9.14848995518141e+21,6.229120600854113e+21,3419.167566028836,4.048934320564872,52.91424083359036,57.407906028805925,73.12795984553931,72.70530164870137,47.94743897345792,-0.0046879226635367,0.2837582601387994,-0.0379648046051891,57.225110895684615
hmi.sharp_cea_720s.5956.20150918_090000_TAI,5956,1001.5029122215832,1.727723698062878e+23,39513060848549.4,141.2526236188654,5772146633301.787,1.0159227692428745e+22,6.84245725705503e+21,3757.807519991988,3.970500617737176,52.44010036638137,57.065894471016485,74.31664541434974,74.85128192344901,48.31149449385688,-0.0040802051942247,0.3137199674258363,-0.0284300633287984,55.8896591565569
